block,block2,block3,project,country,reef.year,size,area,rich_mean,D_mean,SP,fish.biomass,Productivity,rich_sd,D_sd,Productivity_sd,plant.production,prod.sum.prod_yr2_mean_mean,prod.area,plant.rich,plant.div,Lmax_mean,skew_mean,trop.level_mean,D.ffg_mean,Lmax_sd,skew_sd,trop.level_sd,D.ffg_sd,biomass.tot_mean,biomass.area,n_mean,n.area,p_mean,p.area,p.area.biomass,biomass.tot_mean_sd,n_mean_sd,p_mean_sd,n.biomass,p.biomass,turnover,n.biomass_sd,p.biomass_sd,turnover_sd,prod.sum.prod_yr2_mean_sd,seagrass.n,seagrass.p,sed.n,sed.p
YoMama,YoMama13,YoMama,YoMama,Bahamas,1a/13,30,7.84,4.5,0.37265625,43.05284808,15.24799301,224.7859748,2.121320344,0.074025241,165.0924568,0.853895036,349.6880562,44.60306839,9,0.495244224,10.3625,0.300155168,3.255327614,0.236875,0.689429112,0.011365286,0.054639433,0.025632621,119.5442652,15.24799301,0.102538912,0.013078943,0.007218775,0.000920762,6.03858E-05,48.94861655,0.034560736,0.002279766,0.000871628,6.16494989412003e-05,1.743803245,6.77924484326979e-05,6.17253911681562e-06,0.666997287,111.2768664,1.341474,0.08915719,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,1a/19,30,7.84,7.5,0.644643133,58.04217464,45.61938579,418.1882471,2.121320344,0.056641086,31.34866592,1.007109973,655.310897,83.5855736,7,0.458145544,10.90746754,1.115873249,3.307463911,0.274504421,1.090505586,1.218430957,0.570783468,0.020223733,357.6559846,45.61938579,0.233699805,0.029808649,0.019973911,0.002547693,5.58467E-05,3.765585511,0.071674055,0.003647407,0.000652402,5.59034948299457e-05,1.168850538,0.000193531,1.07866689672742e-05,0.075344075,212.8418967,1.348143,0.08648598,0.04666667,0.011004443
YoMama,YoMama13,YoMama,YoMama,Bahamas,1b/13,30,7.84,10.5,0.787950199,328.9747827,206.4636131,2584.460445,3.535533906,0.014777554,122.1954092,1.209159825,3024.243654,385.745364,10,0.260114285,12.28666005,2.744464155,3.658760858,0.19867175,0.165249052,0.390960815,0.014266422,0.07857416,1618.674727,206.4636131,0.836026513,0.106636035,0.060796648,0.007754674,3.75595E-05,57.68850488,0.055918501,0.010548033,0.000516201,3.74671947010624e-05,1.599012855,1.61481975619572e-05,5.18115636253539e-06,0.132478791,236.6274613,1.559659,0.07512335,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,1b/19,30,7.84,8.5,0.698607074,177.3733468,97.27873206,1211.714042,0.707106781,0.060270127,67.70305953,1.415567164,1493.402849,190.4850573,9,0.354757404,10.6598063,1.494457967,3.437565194,0.144825438,0.529045994,1.694693008,0.023123948,0.088418755,762.6652594,97.27873207,0.52657983,0.067165795,0.031350093,0.003998736,4.1106E-05,2.00424234,0.148239708,0.015613476,0.000690705,4.11330090710136e-05,1.588677669,0.000196186,2.05803486897242e-05,0.0845967,83.01807388,1.480645,0.07657118,0.04,0.011374708
YoMama2,YoMama213,YoMama,YoMama,Bahamas,1c/13,30,7.84,4.5,0.456854043,31.90563485,19.00255,318.2092769,0.707106781,0.056833533,202.6927789,3.222828523,245.5180336,31.31607571,4,0.497828189,9.897435896,0.790004785,3.772029114,0.281928008,2.030665625,0.976149605,0.730156299,0.013772544,148.979992,19.00255,0.06941709,0.008854221,0.009325036,0.001189418,6.25925E-05,132.9245214,0.00537982,0.007773127,0.000747289,6.53133738627636e-05,2.539965397,0.000630642,6.09895435603616e-06,0.905698167,62.86654772,1.554098,0.08292702,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,1c/19,30,7.84,8,0.72456095,36.95796212,11.64535451,264.5501883,1.414213562,0.035976249,52.34491004,3.824443939,353.7432057,45.12030685,4,0.516109767,6.831439394,0.8692682,3.144901391,0.302929867,1.057981738,0.828744273,0.207917715,0.244326009,91.29957937,11.64535451,0.216842983,0.027658544,0.010557354,0.001346601,0.000115634,47.00869814,0.163045754,0.007076318,0.002207999,0.000110302,3.1702289,0.000648968,2.07143706698445e-05,1.058968989,179.3343594,1.590338,0.08226384,0.05,0.013365064
YoMama2,YoMama213,YoMama,YoMama,Bahamas,1d/13,30,7.84,9.5,0.8022582,279.9472274,177.4336099,2105.105596,0.707106781,0.0227705,465.6634885,3.274196673,2337.62693,298.1667003,6,0.440372085,10.52982955,0.60176663,3.429237921,0.28705288,0.086379521,0.348481791,0.056786109,0.055322614,1391.079502,177.4336099,0.614858678,0.078425852,0.032220355,0.004109739,2.31621E-05,492.9936069,0.181818249,0.010206546,0.000446906,2.33268864768982e-05,1.551397452,2.76789878427662e-05,9.298245334101e-07,0.215059985,721.3251677,1.601675,0.09466981,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,1d/19,30,7.84,7,0.619679786,289.1363829,199.4088306,2051.019438,5.656854249,0.348940098,741.2781725,4.094151402,2693.215987,343.5224473,3,0.450535698,11.73143949,0.837878613,3.41938127,0.133582304,0.578986931,0.840047099,0.177052505,0.188913906,1563.365232,199.4088306,0.803799457,0.102525441,0.068625797,0.00875329,4.38962E-05,827.4933198,0.020908766,0.035698098,0.000602018,4.40193805158571e-05,1.37971087,0.000332024,4.6543512489795e-07,0.256129116,863.1633181,1.536562,0.09755694,0.04666667,0.013070774
YoMama,YoMama13,YoMama,YoMama,Bahamas,2a/13,30,7.84,5,0.441941865,32.12525402,11.65208407,292.8351263,0,0.011980309,124.587601,0.830400059,347.4165508,44.31333556,11,0.389733444,8.711279462,0.391963001,3.1811667,0.371829972,0.041664541,0.254472848,0.008243334,0.005944061,91.35233915,11.65208408,0.103726818,0.013230461,0.006422965,0.000819256,7.03098E-05,4.670563998,0.010463559,0.000582346,0.001134013,7.02386369464673e-05,3.17484261,5.65621785338931e-05,2.78363773266419e-06,1.201494087,23.52907473,1.516294,0.08312476,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,2a/19,30,7.84,8,0.6759755,57.79533171,44.03826283,391.7161605,0,0.170977713,56.73829352,1.680750358,606.0822753,77.30641267,5,0.293702878,8.367936644,2.538775844,3.653869925,0.32174445,0.849678397,0.2367097,0.118840338,0.202372972,345.2599807,44.03826284,0.249438829,0.031816177,0.023939397,0.003053495,6.93373E-05,55.29748518,0.034815107,0.000168842,0.000740034,7.02778462182138e-05,1.135963873,0.000219362,1.17448581075526e-05,0.017603117,25.17370187,1.452552,0.07332969,0.04,0.011115031
YoMama,YoMama13,YoMama,YoMama,Bahamas,2b/13,30,7.84,9.5,0.8210108,358.7447135,233.8599221,2813.186479,0.707106781,0.00417354,384.7352928,1.677573318,3377.470093,430.7997568,6,0.445044756,11.35523144,1.948383622,3.58899837,0.210645486,0.641476093,1.876809511,0.047293861,0.04097527,1833.461789,233.8599221,0.971665598,0.123936939,0.058527263,0.007465212,3.19217E-05,77.30628945,0.020166886,0.010041566,0.000530202,3.18345598052075e-05,1.531295145,1.1356134905856e-05,4.1345584158365e-06,0.145275211,69.53689076,1.563424,0.07382622,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,2b/19,30,7.84,9.5,0.735047604,1052.906192,1031.082901,7008.954757,0.707106781,0.046040714,1243.116235,1.464055556,7008.170282,893.8992707,8,0.35793975,14.73906135,0.819638238,3.451571505,0.162252,2.806529293,0.456981016,0.049495019,0.096160773,8083.689945,1031.082901,2.743360545,0.349918437,0.153239349,0.019545835,1.89566E-05,1232.096426,0.258085358,0.017176447,0.000340897,1.90155546287663e-05,0.865381376,2.00316280042337e-05,7.7347710431907e-07,0.02188146,1097.962184,1.443889,0.07801774,0.04333333,0.010904447
YoMama2,YoMama213,YoMama,YoMama,Bahamas,2c/13,30,7.84,4.5,0.546136479,81.42512037,44.25439532,583.1763081,0.707106781,0.027267466,416.0503501,1.665534604,691.8220108,88.24260342,7,0.579797279,7.003004808,1.100263645,3.564566545,0.158652402,0.548177733,1.34129815,0.792069621,0.023533316,346.9544593,44.25439532,0.331615942,0.042297952,0.048969994,0.006246173,0.000141142,310.8922821,0.142936393,0.031990102,0.001288498,0.000166795,1.910637774,0.000742597,5.72551431794559e-05,0.512897826,337.5486535,1.569867,0.09000044,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,2c/19,30,7.84,9,0.707470112,83.76141066,49.61373519,855.2701313,1.414213562,0.120815269,61.29098724,3.811626674,937.4994127,119.5790067,3,0.285705564,10.24468864,0.70530344,3.063006172,0.331971716,3.573349872,0.465702374,0.376721451,0.17393713,388.9716839,49.61373519,0.280162751,0.035735045,0.01936017,0.002469409,4.97727E-05,197.5337293,0.029335161,0.003787014,0.000804907,5.43028339791328e-05,2.570236587,0.000333343,1.7840957156824e-05,1.462829889,240.8209777,1.539479,0.07087171,0.06,0.011129551
YoMama2,YoMama213,YoMama,YoMama,Bahamas,2d/13,30,7.84,14.5,0.804226578,639.5053687,440.4739597,5192.907008,2.121320344,0.048801667,144.9622649,1.888880575,5899.566834,752.4957696,7,0.325791588,12.54765326,1.450519368,3.553409647,0.252684562,0.087033736,0.259895185,0.009160456,0.03112231,3453.315844,440.4739597,1.593050292,0.20319519,0.121035485,0.0154382,3.50491E-05,267.3542922,0.229528638,0.024510614,0.000460116,3.48788405929609e-05,1.509895114,3.08439977953572e-05,4.39739877792485e-06,0.158873161,745.2689594,1.605859,0.07300225,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,2d/19,30,7.84,7.5,0.743637544,132.2386936,187.1316664,1195.225183,0.707106781,0.153348073,231.883122,3.337596392,1282.006863,163.5212835,2,0.277777778,13.78571429,1.261649866,3.465671168,0.382237954,1.717259327,0.619216719,0.012345775,0.262774149,1467.112265,187.1316665,0.470271165,0.059983567,0.034756687,0.004433251,2.36905E-05,105.8899299,0.05525174,0.001326335,0.000322742,2.37197001325648e-05,0.811087526,6.09540187518427e-05,8.07942885584179e-07,0.099513257,269.8006215,1.481755,0.07545984,0.05333333,0.010852307
YoMama,YoMama13,YoMama,YoMama,Bahamas,3a/13,30,7.84,7.5,0.713060316,188.5781754,99.4153087,1468.880636,0.707106781,0.139573809,117.1670633,1.606285845,1234.458235,157.4564075,7,0.298769879,11.83596838,2.447916433,4.038944961,0.391858524,0.539413474,0.141441396,0.122710525,0.167869446,779.4160202,99.4153087,0.340216649,0.043394981,0.045026359,0.005743158,5.77694E-05,41.09152532,0.046793934,0.002684425,0.000438694,5.77588333468998e-05,1.891182229,8.31656569624746e-05,3.99049989627956e-07,0.25003159,118.6290943,1.662214,0.07822467,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,3a/19,30,7.84,7.5,0.704295864,96.53100267,53.3344868,549.5732724,0.707106781,0.12112027,84.20487002,2.161903624,690.0972949,88.02261415,2,0.165289256,9.741488018,1.646129016,3.568849115,0.290147556,0.909519438,0.903133913,0.177295972,0.192174578,418.1423765,53.3344868,0.295667694,0.037712716,0.026481441,0.003377735,6.33312E-05,14.70254504,0.061473058,0.011484314,0.000704949,6.38534872850774e-05,1.311591311,0.000122228,2.97102696998219e-05,0.155260847,9.21326124,1.51153,0.06951139,0.05333333,0.009791819
YoMama,YoMama13,YoMama,YoMama,Bahamas,3b/13,30,7.84,9,0.783773789,353.0336159,272.8030701,2360.978952,0,0.011377428,35.10723509,1.427405866,3055.121918,389.6839181,6,0.239767449,12.03526698,1.018179192,3.653253952,0.186616284,0.088097027,0.090854443,0.002760632,0.049045723,2138.77607,272.8030702,0.831954148,0.106116601,0.058664526,0.00748272,2.7429E-05,37.63378277,0.043452735,0.000668871,0.000389225,2.7436016017174e-05,1.103919023,2.71656283196248e-05,7.95497758419887e-07,0.003009859,159.905235,1.351996,0.08027233,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,3b/19,30,7.84,8,0.679462449,392.9568386,419.8065943,2853.057258,2.828427125,0.15067849,418.9255327,4.307996214,3039.893174,387.7414763,3,0.21681885,17.98148149,0.766998144,3.435916014,0.101508917,2.383211744,0.310164342,0.050895155,0.143555286,3291.283699,419.8065943,1.060222058,0.135232405,0.064743,0.008258036,1.9671E-05,241.9414062,0.136743381,0.010769477,0.000321472,1.96037480641352e-05,0.864509912,1.79159645149236e-05,1.83105401364334e-06,0.063733427,432.5113288,1.450107,0.08125762,0.05,0.010130849
YoMama2,YoMama213,YoMama,YoMama,Bahamas,3c/13,30,7.84,6,0.611111111,126.991289,88.48062243,1056.926384,NA,NA,NA,1.344745761,788.3628147,100.5564815,7,0.39785506,12.79166667,2.137100431,4.327221048,0.413194444,NA,NA,NA,NA,693.6880799,88.48062244,0.195724858,0.024964905,0.041962823,0.005352401,6.04924E-05,NA,NA,NA,0.000282151,6.04923514218662e-05,1.523633481,NA,NA,NA,NA,1.473688,0.08686567,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,3c/19,30,7.84,7.5,0.560022769,59.9452076,56.68060003,544.4797911,3.535533906,0.344638526,460.5224891,3.151283906,780.9904463,99.61612835,4,0.203074122,12.40422078,1.717697672,3.390125972,0.412263873,1.600173468,1.588045535,0.289084008,0.305237211,444.3759043,56.68060004,0.25582026,0.032630135,0.028368021,0.00361837,6.38379E-05,405.8850521,0.167256786,0.026643354,0.00069277,6.25463286796885e-05,1.29014683,0.000256378,2.82808773450593e-06,0.142061762,474.1924199,1.52237,0.07270947,0.05,0.010591385
YoMama2,YoMama213,YoMama,YoMama,Bahamas,3d/13,30,7.84,11,0.829704861,207.2217898,198.7742889,1615.224918,1.414213562,0.013724746,179.6928475,1.705415534,2320.823871,296.0234529,6,0.360752019,10.98958334,1.96895192,3.718528797,0.340486111,1.664647216,0.500282656,0.011041848,0.015026019,1558.390425,198.7742889,0.594700702,0.075854681,0.057580802,0.00734449,3.69489E-05,208.393285,0.045349087,0.005245537,0.000387018,3.70551462145172e-05,1.053599809,8.08534177879946e-05,1.58914411108221e-06,0.256197655,43.33358952,1.528667,0.05989758,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,3d/19,30,7.84,9,0.674710842,632.3017416,739.0279282,4636.949921,1.414213562,0.053763352,129.9350373,4.707609172,5343.437761,681.5609389,2,0.387811634,12.9377743,0.967470783,3.479814906,0.072623795,3.944946519,0.438199439,0.00911944,0.045027167,5793.978958,739.0279283,2.49033408,0.317644653,0.135454587,0.017277371,2.33785E-05,26.59955186,0.926443513,0.039911792,0.000429452,2.33629425596198e-05,0.800261886,0.000157926,6.78123769987404e-06,0.018751955,586.5012733,1.482777,0.067270947,0.05333333,0.010199238
YoMama,YoMama13,YoMama,YoMama,Bahamas,4a/13,30,7.84,5,0.50530434,32.13230075,14.36063357,273.6005816,0,0.105468253,41.32078454,0.896003236,374.5439479,47.77346274,6,0.325791588,8.770655271,0.035163632,3.195951503,0.25930796,0.219585867,0.572434408,0.097768497,0.168843332,112.5873672,14.36063357,0.12607693,0.016081241,0.008259229,0.001053473,7.33584E-05,44.60689321,0.029556739,0.001548854,0.001158756,7.6649084885805e-05,2.715990888,0.000196574,1.6611311553724e-05,1.443081084,121.808949,1.490376,0.08433909,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,4a/19,30,7.84,7.5,0.657431045,59.87481757,33.51901842,487.1091011,3.535533906,0.003250434,45.42048203,0.781033061,608.8229546,77.65598911,6,0.141460906,8.222394541,1.38544513,3.526737665,0.31395353,1.647137694,1.323669687,0.266850789,0.091667318,262.7891044,33.51901842,0.23643424,0.030157429,0.016928203,0.00215921,6.44175E-05,123.3071162,0.099440011,0.005757973,0.001110769,6.66096310510614e-05,2.128477996,0.000899602,9.34387627625328e-06,1.171574317,94.97020979,1.50812,0.07570313,0.04,0.008994411
YoMama,YoMama13,YoMama,YoMama,Bahamas,4b/13,30,7.84,9,0.755930362,551.0063423,432.1738896,4497.937831,2.828427125,0.025923047,2495.428647,1.275951197,5253.952703,670.1470284,5,0.52285377,12.85153846,1.061046331,3.525173858,0.160282049,0.808277442,2.009800927,0.07221487,0.064887016,3388.243295,432.1738897,1.438745596,0.183513469,0.096327556,0.012286678,2.84299E-05,2632.367036,0.882483706,0.075671235,0.000463265,2.82931259996267e-05,1.49156559,9.94616398416998e-05,3.52200949415019e-07,0.422318977,3477.53535,1.395333,0.0848025,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,4b/19,30,7.84,7,0.678502508,739.9402125,1125.242051,5880.500105,2.828427125,0.064411679,1837.201112,2.121247448,5490.701184,700.3445388,4,0.359443086,17.55469871,0.93402945,3.425359984,0.106191554,0.181341946,0.704227888,0.097608828,0.082874094,8821.897675,1125.24205,2.463369638,0.314205311,0.153240139,0.019545936,1.73704E-05,4542.76777,1.189400113,0.080765909,0.000281895,1.73079773893988e-05,0.706649999,1.03357798206037e-05,2.4255408883549e-07,0.155629297,1683.487973,1.585602,0.07135052,0.04,0.008960232
YoMama2,YoMama213,YoMama,YoMama,Bahamas,4c/13,30,7.84,5,0.540681469,104.6188322,56.35466527,713.2012516,1.414213562,0.03789043,377.6978235,2.483223081,677.3381515,86.39517239,8,0.580424834,11.45175439,1.789503068,4.121538469,0.484453095,0.303931861,0.698936441,0.07934896,0.041628499,441.8205758,56.35466528,0.168016099,0.021430625,0.025687289,0.00327644,5.81396E-05,241.1087318,0.115217847,0.01397083,0.000363209,5.8173847252476e-05,1.622583109,6.25711719604164e-05,1.25373730285172e-07,0.030603219,415.5585358,1.450667,0.08889224,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,4c/19,30,7.84,6.5,0.543358901,113.4898587,68.98944829,471.0673533,2.121320344,0.034708101,34.5339139,3.896482368,747.2152326,95.30806538,2,0.345679012,10.16538462,1.297872726,3.663217552,0.163238367,1.887431177,0.090270345,0.041000308,0.082448785,540.8772746,68.98944829,0.265782218,0.033900793,0.025974484,0.003313072,4.80229E-05,103.6016084,0.157929923,0.009091567,0.000472087,4.72803914397818e-05,0.880978307,0.000201564,7.75266982834882e-06,0.104897836,400.4612867,1.460069,0.07345162,0.04666667,0.010215252
YoMama2,YoMama213,YoMama,YoMama,Bahamas,4d/13,30,7.84,11,0.803525654,473.9871945,356.6151194,3601.475116,1.414213562,0.029666208,2429.567957,1.501397231,4335.844494,553.0413895,3,0.17818261,12.36811506,0.714752452,3.457016673,0.289659958,0.372594214,1.522025331,0.077078207,0.012015898,2795.862536,356.6151194,1.199974963,0.153058031,0.079458871,0.01013506,2.84202E-05,1192.359573,0.614787044,0.019995216,0.000420553,2.95856645250331e-05,1.213170032,4.05377246586436e-05,5.46576721811832e-06,0.351602786,2277.429916,1.560667,0.07135528,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,4d/19,30,7.84,11.5,0.836450801,199.6271148,238.3190638,880.4829466,2.121320344,0.004798355,476.0453886,3.024114632,1028.927186,131.2407125,2,0.345679012,10.98660714,1.964064941,3.532251072,0.326094719,1.52154227,0.150989732,0.004282889,0.066182145,1868.42146,238.3190638,0.700680573,0.089372522,0.052984624,0.006758243,2.8358E-05,384.5179374,0.245418599,0.012286639,0.000369317,2.82801763246938e-05,0.454655143,5.53466619770334e-05,7.55934162957958e-07,0.16121755,467.5347083,1.51722,0.06726857,0.05,0.011494308
Haiti,Haiti,Haiti,Globals,Haiti,H1/18,88,12,17,0.782635042,560.9260621,333.4259121,6928.908883,NA,NA,NA,1.233616498,9454.756428,787.896369,7,0.605662233,9.519736842,1.979181441,3.448831538,0.247489612,NA,NA,NA,NA,4001.110946,333.4259122,2.012937488,0.167744791,0.236649773,0.019720814,5.9146E-05,NA,NA,NA,0.000503095,5.91460161399407e-05,1.731746252,NA,NA,NA,NA,1.623333,0.07783333,0.053,0.01766667
Haiti,Haiti,Haiti,Globals,Haiti,H2/18,88,12,17,0.787244633,1367.718866,849.3962439,16376.43675,NA,NA,NA,1.093596482,20833.59306,1736.132755,6,0.540865189,12.25986842,0.552909545,3.494835031,0.153241863,NA,NA,NA,NA,10192.75493,849.3962442,5.389768263,0.449147355,0.306900976,0.025575081,3.01097E-05,NA,NA,NA,0.000528784,3.01097179038334e-05,1.606674237,NA,NA,NA,NA,1.436667,0.10033333,0.07133333,0.019633333
Haiti,Haiti,Haiti,Globals,Haiti,H3/18,88,12,14,0.833259044,2309.693041,1820.931907,27157.26009,NA,NA,NA,2.097229596,40624.41304,3385.367753,7,0.246913579,14.82529118,2.982778653,3.411220517,0.167712714,NA,NA,NA,NA,21851.18288,1820.931907,9.865394526,0.822116211,0.974441398,0.08120345,4.45944E-05,NA,NA,NA,0.000451481,4.45944461377829e-05,1.242827916,NA,NA,NA,NA,1.73,0.1156,0.03333333,0.021133333
Haiti,Haiti,Haiti,Globals,Haiti,H4/18,88,12,15,0.721978096,1222.146048,916.8842444,15869.06056,NA,NA,NA,1.374601339,22980.73892,1915.061577,1,0,10.60465116,0.478597078,3.424014143,0.136577204,NA,NA,NA,NA,11002.61093,916.8842442,5.191376059,0.432614672,0.552987408,0.046082284,5.02597E-05,NA,NA,NA,0.000471831,5.02596530439181e-05,1.442299529,NA,NA,NA,NA,1.38,0.1091,0.04066667,0.021433333
Haiti,Haiti,Haiti,Globals,Haiti,H5/18,88,12,10,0.803717353,438.2925277,250.6847092,4480.311547,NA,NA,NA,0.704057017,6702.435447,558.5362873,3,0.586419753,12.40506329,-0.551269748,3.425190798,0.43102067,NA,NA,NA,NA,3008.216511,250.6847093,1.492620847,0.124385071,0.075438147,0.006286512,2.50774E-05,NA,NA,NA,0.000496181,2.50773662664831e-05,1.489358073,NA,NA,NA,NA,1.595,0.15285,0.12433333,0.018733333
Haiti,Haiti,Haiti,Globals,Haiti,H6/18,88,12,12,0.7826,993.8233501,587.5679201,11110.41192,NA,NA,NA,1.090023665,13181.46401,1098.455334,8,0.524751137,12.035,3.104213082,3.464255069,0.31315,NA,NA,NA,NA,7050.815041,587.5679201,3.4102341,0.284186175,0.214159281,0.017846607,3.03737E-05,NA,NA,NA,0.000483665,3.03736914931817e-05,1.575762781,NA,NA,NA,NA,1.276667,0.08453333,0.03533333,0.0123
Haiti,Haiti,Haiti,Globals,Haiti,H8/18,88,12,7,0.74537037,178.0178052,56.7290871,2591.194545,NA,NA,NA,1.827021177,2886.814265,240.5678554,7,0.712442172,10.91666667,0.213154504,3.110606819,0.527777778,NA,NA,NA,NA,680.7490453,56.72908711,0.386388997,0.032199083,0.024341843,0.002028487,3.57574E-05,NA,NA,NA,0.000567594,3.57574391737214e-05,3.806387336,NA,NA,NA,NA,1.52,0.11826667,0.08966667,0.017633333
LH,LH,LH,Globals,Bahamas,LH1/18,88,12,12,0.809964475,672.9317486,366.4466906,8124.929165,NA,NA,NA,1.245667711,7816.56125,651.3801042,2,0.277777778,14.14569536,2.074459728,3.754598142,0.451734573,NA,NA,NA,NA,4397.360288,366.4466907,2.565221592,0.213768466,0.326655978,0.027221332,7.42846E-05,NA,NA,NA,0.000583355,7.42845608426588e-05,1.847683299,NA,NA,NA,NA,1.513333,0.0745,0.03033333,0.009166667
LH,LH,LH,Globals,Bahamas,LH2/18,88,12,10,0.725062756,252.6079449,1065.13273,3019.234642,NA,NA,NA,1.454833685,7940.441746,661.7034788,3,0.228386251,19.89655172,0.468334343,4.15048882,0.602721628,NA,NA,NA,NA,12781.59276,1065.13273,5.460178993,0.455014916,0.314163608,0.026180301,2.45794E-05,NA,NA,NA,0.000427191,2.4579378654886e-05,0.236217403,NA,NA,NA,NA,1.63,0.06186667,0.027,0.01035
LH,LH,LH,Globals,Bahamas,LH3/18,88,12,8,0.516266667,243.6580564,832.388494,2515.241293,NA,NA,NA,0.707426708,7363.949815,613.6624846,1,0,22.04,0.551892679,4.148229596,0.453333333,NA,NA,NA,NA,9988.661928,832.388494,4.583559498,0.381963292,0.240874866,0.020072906,2.41148E-05,NA,NA,NA,0.000458876,2.41148281555713e-05,0.251809633,NA,NA,NA,NA,1.513333,0.06346667,0.02333333,0.0099
MOW,MOW,MOW,Globals,Bahamas,MOW1/18,88,12,10,0.339410431,405.4053859,423.1088,4860.684867,NA,NA,NA,0.937695157,7622.480005,635.2066671,2,0.290657439,16.46666667,1.244157722,3.565572201,0.161088435,NA,NA,NA,NA,5077.3056,423.1088,2.240917783,0.186743149,0.164194327,0.013682861,3.23389E-05,NA,NA,NA,0.00044136,3.23388703141628e-05,0.957335494,NA,NA,NA,NA,1.61,0.08143333,0.04,0.0112
MOW,MOW,MOW,Globals,Bahamas,MOW2/18,88,12,6,0.159976387,191.9892005,164.5330132,2312.595302,NA,NA,NA,0.896627244,4292.434069,357.7028391,2,0.375,17.35064935,1.519100913,3.606061025,0.11241356,NA,NA,NA,NA,1974.396159,164.5330133,1.719985213,0.143332101,0.118068455,0.009839038,5.97998E-05,NA,NA,NA,0.000871145,5.9799779558161e-05,1.171292444,NA,NA,NA,NA,1.846667,0.08073333,0.04433333,0.010433333
MOW,MOW,MOW,Globals,Bahamas,MOW3/18,88,12,8,0.833333333,74.859506,177.5530311,865.2956558,NA,NA,NA,0.833718169,910.5675262,75.88062718,2,0.3046875,16.5,0.260293923,2.807357711,0.75,NA,NA,NA,NA,2130.636373,177.5530311,0.588913163,0.049076097,0.043903288,0.003658607,2.06057E-05,NA,NA,NA,0.000276402,2.06057160966641e-05,0.406120757,NA,NA,NA,NA,1.49,0.07706667,0.06333333,0.0113